Type,Luminosity,Mass,Radius,Age,Temperature
C-O White Dwarf,44.254478666863044,0.6742111470005131,0.011814941484284216,918.2889972094661,137104.29414492787
"Main Sequence, M<0.7 Msun",0.12261515175557937,0.6624134804857365,0.6263621007200108,4473.2582043275515,4320.169997355878
"Main Sequence, M<0.7 Msun",0.00817825150998316,0.23037482337569798,0.25148029086678453,6668.47332779623,3464.8997696140573
"Main Sequence, M<0.7 Msun",0.008971343626579418,0.24116517473464238,0.2593268893995825,6081.869025322398,3491.950952578513
"Main Sequence, M<0.7 Msun",0.004954292124288137,0.18278130649913468,0.21431575746859557,10604.554371185173,3311.2798659310038
"Main Sequence, M<0.7 Msun",0.0006540366212462562,0.08944196243962946,0.11330963689120192,44283.03254418543,2745.014419767342
"Main Sequence, M<0.7 Msun",0.0009275342234338457,0.09910622854130752,0.12674298246501428,36068.557064422675,2832.357453305399
"Main Sequence, M<0.7 Msun",0.05437144315381125,0.5443307887817694,0.5058322747881607,4780.953861707871,3922.988043773033
"Main Sequence, M<0.7 Msun",0.04509005152633716,0.51518300745145,0.4763643975092685,4487.821654173275,3857.696637827786
"Main Sequence, M<0.7 Msun",0.0006078908467535563,0.08761656571718925,0.11066822493918783,46147.23836002049,2727.2344014198284
"Main Sequence, M<0.7 Msun",0.002100290808943682,0.12997213903862428,0.16409287843517595,20973.474086058744,3053.53237425201
"Main Sequence, M<0.7 Msun",0.004542022172404708,0.17605481793292657,0.20858446127045874,11430.840186298625,3284.345780408356
C-O White Dwarf,38.98998521638675,0.5940072834697464,0.012859746213395779,2880.31532549113,127320.87253429895
"Main Sequence, M<0.7 Msun",0.0021699522862332512,0.13152013557192282,0.1657751770452284,20482.75320961586,3062.882478525657
"Main Sequence, M<0.7 Msun",0.001292738634575432,0.11002265771173414,0.14085435862476012,29267.13077313283,2919.241836227912
"Main Sequence, M<0.7 Msun",0.00044600647136902436,0.08053564142892097,0.1001044985441028,54617.9595181916,2653.9090188719206
"Main Sequence, M<0.7 Msun",0.015094534116468805,0.31714976695787184,0.3124293315033801,3481.7217242793035,3623.3189557208584
"Main Sequence, M<0.7 Msun",0.019591301610524477,0.3642208280028885,0.3466810183812276,5198.030632943751,3671.371466977134
C-O White Dwarf,38.81070650162719,0.5912759958904549,0.012896987409440262,3007.7391370269397,126990.51566870885
