Type,Luminosity,Mass,Radius,Age,Temperature
C-O White Dwarf,16.296179367054602,0.946786009520633,0.008654932557288783,340.65419587144754,124786.3674542354
"Main Sequence, M<0.7 Msun",0.00582454438399509,0.16415926311435833,0.18573442618363092,8745.435878809201,3703.7939935870645
"Main Sequence, M<0.7 Msun",0.032512621002800335,0.3987277721622139,0.3587870111133095,4122.6910510038415,4096.115336250367
"Main Sequence, M<0.7 Msun",0.0015166491847038875,0.10257630598669348,0.11712922180701865,22395.98554073635,3331.7023300514916
"Main Sequence, M<0.7 Msun",0.03834227978341837,0.4220320299220277,0.37677464450097403,4779.060368286337,4165.394949495812
"Main Sequence, M<0.7 Msun",0.0011385024207163908,0.09476606469960495,0.10655152521890685,26238.89553886979,3251.480784139296
"Main Sequence, M>0.7 Msun",0.990160531184994,0.8409054001478419,0.8284352720511412,4526.043578497934,6332.491995719503
"Main Sequence, M<0.7 Msun",0.02786631227802957,0.37466487539905313,0.34150129395223017,4772.441585152809,4039.7197319482493
"Main Sequence, M<0.7 Msun",0.02708766088263101,0.37008220988299495,0.33827261295987787,4908.951951786903,4030.2964721143644
"Main Sequence, M<0.7 Msun",0.013819449557682878,0.257872353851599,0.2603676245299275,3525.840687518072,3882.4577056884564
"Main Sequence, M>0.7 Msun",1.6605530265754704,0.911592922259602,0.9477288474998186,4522.8921080401005,6737.498392484426
"Main Sequence, M>0.7 Msun",3.6309455754037523,1.025580175009701,1.1897265977995108,4519.27853520952,7312.382268663691
"Main Sequence, M<0.7 Msun",0.011764206717272723,0.23444800534858162,0.24352247386138948,4276.864572815109,3856.103444333219
"Main Sequence, M<0.7 Msun",0.026699123763315274,0.36772661651943583,0.3366198613305321,4980.887626910635,4025.6120670904925
"Main Sequence, M<0.7 Msun",0.006642666422583339,0.1741432558953061,0.19490742272598666,7770.799415457238,3736.3621079382187
"Main Sequence, M<0.7 Msun",0.10652354884570228,0.5522347883639527,0.4920024382184962,4370.63673839246,4706.036775356359
C-O White Dwarf,14.945620577551901,0.8683203680880552,0.009533952638768132,577.2817693228876,116350.84202218658
Early Asymptotic Giant Branch,584504.010722113,28.370503438820855,1795.1970975447744,6.957865555399381,3770.6684113747638
"Main Sequence, M<0.7 Msun",0.0027541702078082613,0.12331351577536015,0.14297152155445866,15498.140056122566,3500.6642707241526
"Main Sequence, M<0.7 Msun",0.009414217442177509,0.2070715326981656,0.22263630844639523,5491.650187270229,3814.3944131468375
"Main Sequence, M<0.7 Msun",0.001663843066303307,0.10535389308726996,0.12077787024210092,21230.87901313694,3357.8550455347636
"Main Sequence, M<0.7 Msun",0.01075746303357645,0.22277378921106286,0.2348047631800375,4740.954516821015,3840.1797377261605
"Main Sequence, M<0.7 Msun",0.05739495270430258,0.47600509672388575,0.4207862868054855,4326.308053288324,4359.786016656178
C-O White Dwarf,11.063502087995351,0.6427745275308379,0.012214157093991283,2925.844141279327,95349.61467667176
"Main Sequence, M<0.7 Msun",0.007476755039858066,0.1841613501086442,0.20371880683792384,6947.407474246894,3764.3523171687348
"Main Sequence, M<0.7 Msun",0.036131771758645244,0.41344571458493834,0.3702799644945131,5031.285421405876,4139.851332764393
"Main Sequence, M<0.7 Msun",0.20207790864831465,0.6304406882868181,0.5736741315080505,4443.740685630166,5114.752387608269
"Main Sequence, M<0.7 Msun",0.0021273104770557997,0.11344591533800177,0.1310721824196159,18310.74098264956,3427.5199547908273
"Main Sequence, M<0.7 Msun",0.008318867728281809,0.19416638308878953,0.21217303983755717,6248.5457431025725,3788.336016472733
"Main Sequence, M<0.7 Msun",0.000814795153851425,0.08689965858131467,0.09543319663706461,31203.496041435497,3160.0205814162377
"Main Sequence, M<0.7 Msun",0.011819606103029774,0.23508749472396506,0.24399300785503714,4253.394242782025,3856.910827150614
"Main Sequence, M<0.7 Msun",0.009988271046833872,0.21379787420367544,0.2279176407706271,5149.989206393774,3826.14255403034
"Main Sequence, M<0.7 Msun",0.11406365570913143,0.5599853629063614,0.5002485657906642,4691.689927287294,4747.570614082813
C-O White Dwarf,11.640542087479531,0.6762997720768028,0.011788826314107416,1720.6918857386459,98295.93413038822
"Main Sequence, M<0.7 Msun",0.13025896107113158,0.5759857853240198,0.51668015857753,4732.568903847654,4829.1261210142375
"Main Sequence, M<0.7 Msun",0.0013603633916188414,0.09948204192066733,0.1129946068630664,23810.56011262521,3301.1283767807813
First Giant Branch,32.04806935761291,1.096131100631575,7.429328979142044,4499.694755578808,5043.746033792829
"Main Sequence, M<0.7 Msun",0.0018722880875388646,0.10910122580605244,0.12560668553399965,19797.783481961174,3391.2853060998236
"Main Sequence, M<0.7 Msun",0.007531486182813632,0.18481447070353074,0.20428074598914703,6898.312503493943,3766.0318695814203
"Main Sequence, M<0.7 Msun",0.008331478189906386,0.19431557263358573,0.21229671300686956,6238.930421413016,3788.666849382961
"Main Sequence, M<0.7 Msun",0.011139713985119249,0.2272173232245172,0.23815275928768798,4555.973601054228,3846.522159777967
"Main Sequence, M<0.7 Msun",0.01913885029448194,0.3116593022880059,0.2977076930788281,4765.17748106854,3938.777697392472
"Main Sequence, M<0.7 Msun",0.0007201566718043401,0.08427453696499447,0.09162473703662515,33177.45254565812,3127.0002360312365
"Main Sequence, M<0.7 Msun",0.002844153158172906,0.12465750251174992,0.14453899167876122,15165.834868416987,3509.726477501286
"Main Sequence, M<0.7 Msun",0.008812404671620446,0.1999937605881585,0.21695506747199303,5888.7250538190665,3800.723238633475
